country,iso2,iso3,indicator_used,unit,cts_code,sector,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Mining and quarrying,28.78753175,17.74400709,33.84899247,42.34054832,26.57341839,56.36648066,69.09375026,75.85778907,111.8379413,100.0240988,91.48398857,111.9296447
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Motor vehicles, trailers and semi-trailers",1470.574342,1564.671115,873.2054869,1232.484616,1234.250752,1875.575346,1701.463342,1213.370563,1839.071751,1432.90093,1448.860642,1618.071167
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Other business sector services,481.9728397,1222.241047,690.5460133,786.1701184,836.952002,1032.498345,1105.693981,1432.087784,1570.254584,1533.921211,1650.130073,1764.358352
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Other manufacturing, repair and installation of machinery and equipment",2668.765775,2925.036584,3129.755602,3798.763305,3649.679365,5852.938701,6194.368761,6322.300186,7223.529049,6990.85428,8635.933816,8568.284326
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Other non-metallic mineral products,748.1583046,862.495166,613.4292862,743.6625522,596.141208,905.7534129,953.3679636,1070.538339,1388.148544,1431.515549,1326.332908,1514.30716
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Other transport equipment,428.3533858,686.4959176,508.8926984,723.5670682,824.629499,1023.533051,1073.602121,1352.731264,1668.86401,1483.114937,1599.352436,1827.406185
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Paper products and printing,339.6312381,378.9982526,336.5211441,387.3556376,319.8134216,423.6994898,337.8090144,520.8917224,582.4384443,519.3664623,535.0910063,562.6545475
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Public admin. and defence, compulsory social security",2763.85128,4203.651846,3730.826138,4343.852899,3903.196492,5263.605162,5065.748317,8082.447971,7354.126362,6543.467765,6978.472089,6970.095207
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Publishing, audiovisual and broadcasting activities",251.8096034,453.9655222,429.6185002,506.4913131,434.5605496,578.7008137,634.6114915,826.4699623,767.4530411,667.4159561,707.937441,818.0146175
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Real estate activities,2818.706965,4865.422428,3163.01651,3409.073347,3147.649305,3697.972231,3658.926814,4645.2812,4525.483574,4526.747242,4904.829683,4386.545886
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Rubber and plastic products,1027.437281,1453.603245,1154.87551,1539.446354,1406.73364,1557.836161,1110.80975,1230.282373,1497.859507,1433.12673,1406.923592,1614.245228
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Telecommunications,1325.40373,1797.374229,1581.393792,1781.814112,1509.151628,1645.014855,1804.769944,2327.996814,1706.538197,1794.877731,1649.58086,1477.747297
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Textiles, wearing apparel, leather and related products",2183.194263,2382.251823,2303.362372,2520.21723,1988.763459,2361.513591,2430.982292,3155.407112,2988.935931,2766.763748,2914.013258,2688.076634
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Transportation and storage,4892.19717,7038.96848,5046.082584,5404.106552,2968.651854,7873.295487,6567.486121,13839.72805,12266.43382,9081.303512,11488.58578,10426.02524
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Wholesale and retail trade, repair of motor vehicles",4326.17478,5754.032221,5373.655572,6501.331824,6020.561595,8156.447374,7920.943152,12572.85974,11958.3432,10812.85316,10674.5336,10937.33817
